date,target_swe,ERA5,BiLSTM_avg,Transformer_avg
2022-12-05,,41.87402721112691,38.721699721274,37.76606453871451
2022-12-06,,42.890637019977,39.60139003168049,38.40868875305357
2022-12-07,,43.11890608710701,39.82199678463394,43.471239930815045
2022-12-08,,43.15903720709736,33.74650397154743,43.599617885083504
2022-12-09,,43.81731648301621,34.344122694487766,40.2078302369072
2022-12-10,34.0,45.21457827615313,35.71777127313189,37.077362614150566
2022-12-11,,48.27455073303061,37.46500216430502,40.73352065986471
2022-12-12,,51.56041763455348,41.14659665257411,39.019156438417006
2022-12-13,,60.04443492447492,49.578254313818185,47.25074500595686
2022-12-14,,63.69104090459206,54.57673416859963,45.672249133657
2022-12-15,,63.75030469717284,58.48677551569243,74.42605354608794
2022-12-16,,63.76037988114333,56.72359694886184,61.553726810693504
2022-12-17,,63.77313499620365,57.755537487773175,59.126190568713426
2022-12-18,,63.80156261966253,58.283397269702206,60.364412737345944
2022-12-19,,63.83908165491977,58.34987546004214,59.579463189317366
2022-12-20,63.0,63.860249718211385,58.64676610746214,57.80358391620943
2022-12-21,,64.42062670140658,58.82054205089007,54.40222131162081
2022-12-22,,66.03747322801547,59.349561812915375,50.87716057542758
2022-12-23,,66.24674531526838,59.09650996036803,65.63959027834213
2022-12-24,,66.48498779683388,57.670193256428604,59.85092333703316
2022-12-25,,66.69035871857636,54.408367713632515,59.720734676065376
2022-12-26,,66.67624667638198,54.0245853757228,66.81294048779861
2022-12-27,,66.69690589199828,53.50653723965454,65.44205753098296
2022-12-28,,67.11209167184731,53.20275462808511,59.5664644593229
2022-12-29,,72.29880994914123,57.32403864024231,53.54724821208068
2022-12-30,,76.48598177629607,60.645924021779464,57.26358549791472
2022-12-31,60.0,79.94872412974586,64.10010257060279,63.60304808909645
2023-01-01,,84.85496556842621,68.32350556934173,74.74741981113252
2023-01-02,,86.54383100267613,69.28291810747349,69.18093599077427
2023-01-03,,92.70784212511025,74.4448410646244,76.78974348466835
2023-01-04,,100.21395595268116,81.94171588615283,80.57836082176075
2023-01-05,,114.92314785560517,96.68019569953827,96.19077080329804
2023-01-06,,130.21659865928422,112.35668397498857,111.13027206016314
2023-01-07,,132.2432711035625,117.57913946217457,119.27752384251514
